"","n_abs_num_1","p_abs_num_1","n_dir_num_1","p_dir_num_1","n_abs_cat_1","p_abs_cat_1","n_dir_cat_1","p_dir_cat_1","n_abs_num_2","p_abs_num_2","n_dir_num_2","p_dir_num_2","n_abs_cat_2","p_abs_cat_2","n_dir_cat_2","p_dir_cat_2","n_abs_num_3","p_abs_num_3","n_dir_num_3","p_dir_num_3","n_abs_cat_3","p_abs_cat_3","n_dir_cat_3","p_dir_cat_3","n_abs_num_4","p_abs_num_4","n_dir_num_4","p_dir_num_4","n_abs_cat_4","p_abs_cat_4","n_dir_cat_4","p_dir_cat_4"
"reach_4gradient","LR 29",0.753741514415841,"LR 29",0.926325258457856,"A 29",0.521664634249734,"A 29",0.50435273831595,"LR 28",0.0483602920333605,"LR 28",0.0826868693039357,"A 28",0.105457429311669,"A 28",0.272551477607277,"LR 29",0.674417629891776,"LR 29",0.270679234035931,"A 29",0.776255199957219,"A 29",0.686968727017473,"LR 29",0.521725989700769,"LR 29",0.822353129418545,"A 29",0.474829986830507,"A 29",0.772848072522547
"reach_4geo_channel_type","A 45",0.527204090166205,"A 45",0.212408382655458,"X 45",0.345316323866508,"X 45",0.398040103227024,"A 43",0.0105557606184144,"A 43",0.017042536937399,"X 43",0.0515986044493974,"X 43",0.0928122364725605,"A 44",0.895158007388884,"A 44",0.503830801884772,"X 44",0.692721404628985,"X 44",0.80589627821457,"A 45",0.606763652590018,"A 45",0.149284150588463,"X 45",0.674341619727791,"X 45",0.438835655358386
"reach_4type_grade_control","A 9",0.92757531296121,"A 9",0.875881387699311,"X 9",0.84861260541574,"X 9",NA,"A 9",0.0644851419729321,"A 9",0.908232493105671,"X 9",0.113449003661336,"X 9",0.330194300377379,"A 9",0.0224737298390065,"A 9",0.0680279768044749,"X 9",0.352896141903455,"X 9",NA,"A 9",0.75481155369657,"A 9",0.367367892746718,"X 9",0.682270330336213,"X 9",0.543813115883329
"reach_4type_grade_control_cons","A 9",0.881668261320317,"A 9",0.71967157751966,"X 9",0.692569324205198,"X 9",NA,"A 9",0.642078785934851,"A 9",0.748412129603398,"X 9",0.357517334979169,"X 9",0.572270428413904,"A 9",0.00571811546744858,"A 9",0.0358292800165074,"X 9",0.357517334979169,"X 9",NA,"A 9",0.576649791811445,"A 9",0.954761392162584,"X 9",0.52578802442578,"X 9",0.863794611556638
"x4_width_straight","LR 34",0.0937993700738554,"LR 34",0.95984333155599,"A 34",0.681374241142671,"A 34",0.688659148659003,"LR 32",0.734125058394628,"LR 32",0.449280085196497,"A 32",0.565166964507873,"A 32",0.168981845850831,"LR 34",0.311093272347535,"LR 34",0.0289603342124429,"A 34",0.338769894210284,"A 34",0.112066259995277,"LR 34",0.95426664568894,"LR 34",0.363897562733253,"A 34",0.959518105366152,"A 34",0.499350062901948
"reach3_design_cr_cat","A 66",0.144309227819093,"A 66",9.41397177117313e-06,"X 66",0.0433154314243401,"X 66",1.39320385332063e-05,"A 64",0.64230899541868,"A 64",0.818564571402497,"X 64",0.655874058558051,"X 64",0.782311529329559,"A 64",0.255687955746167,"A 64",0.124261059997118,"X 64",0.224583771702584,"X 64",0.450207108861564,"A 66",0.22158226925695,"A 66",1.08637939194402e-05,"X 66",0.320649039703418,"X 66",0.000366241694150132
"grad_diff_2vs3","A 34",0.79659725950137,"A 34",0.454298563786118,"X 34",0.742262779640786,"X 34",0.369361472704165,"A 33",0.871372460274448,"A 33",0.962919134780657,"X 33",0.158364309649796,"X 33",0.233909715458121,"A 34",0.365193236604809,"A 34",0.655296094369081,"X 34",0.518021726144612,"X 34",0.691066881371938,"A 34",0.714704530603736,"A 34",0.0593277869086219,"X 34",0.440917611445498,"X 34",0.108991042288076
"grad_diff_4vs3","A 29",0.641310710516144,"A 29",0.0972486862611474,"X 29",0.757005128262519,"X 29",0.473532219012976,"A 28",0.343922509339231,"A 28",0.0246095293902924,"X 28",0.672667924711373,"X 28",0.00876958492175195,"A 29",0.590121834609582,"A 29",0.625940515166677,"X 29",0.263976611676509,"X 29",0.380916042541658,"A 29",0.842002289764463,"A 29",0.00669408186117529,"X 29",0.846306978138674,"X 29",0.0926108250039325
"width_diff_2vs3","A 36",0.0731945362053184,"A 36",0.536311477156037,"X 36",0.406569659740599,"X 36",0.196672711378859,"A 34",0.609132089525903,"A 34",0.33301656308506,"X 34",0.312427187053404,"X 34",0.30371933432502,"A 35",0.477626541364185,"A 35",0.155414395911312,"X 35",0.385521220271318,"X 35",0.430230342523427,"A 36",0.242147241617959,"A 36",0.128873978547298,"X 36",0.458406011305224,"X 36",0.202642521370204
"width_diff_4vs3","A 34",0.312355943127638,"A 34",0.474346735328313,"X 34",0.574256130615446,"X 34",0.264617537698441,"A 32",0.655764850452581,"A 32",0.225661220005731,"X 32",0.40601526465403,"X 32",0.170338715573894,"A 34",0.778709240447121,"A 34",0.317226592933477,"X 34",0.414937712361072,"X 34",0.449796362758092,"A 34",0.101447251468912,"A 34",0.0810863047154915,"X 34",0.200002614401834,"X 34",0.045066276727302
